"phenotype","symptom","ICD10Code"
"Neuropsychiatric","sleep disturbance","G47.30"
"Neuropsychiatric","general pain, fatigue, malaise","G43.019"
"Neuropsychiatric","sleep disturbance","G47.33"
"Neuropsychiatric","sensory changes","R43.8"
"Neuropsychiatric","anxiety","F41.0"
"Neuropsychiatric","depression","F33.42"
"Cardiopulmonary","cardiac inflammation","I42.5"
"Cardiopulmonary","vascular disease","I70.239"
"Neuropsychiatric","sensory changes","H81.391"
"Cardiopulmonary","cardiac inflammation","I40.9"
"Neuropsychiatric","sleep disturbance","G47.20"
"Cardiopulmonary","vascular disease","I70.269"
"Cardiopulmonary","abnormal breathing","R06.02"
"Cardiopulmonary","vascular disease","I70.234"
"Cardiopulmonary","major cardiac dysfunction","I21.01"
"Cardiopulmonary","major cardiac dysfunction","I50.31"
"Cardiopulmonary","major cardiac dysfunction","I50.33"
"Neuropsychiatric","sensory changes","R44.0"
"Neuropsychiatric","general pain, fatigue, malaise","G89.21"
"Digestive","incontinence, irritable bowel syndrome","K58.9"
"Neuropsychiatric","brain fog","R41.82"
"Cardiopulmonary","major cardiac dysfunction","I21.3"
"Cardiopulmonary","abnormal breathing","R06.1"
"Cardiopulmonary","vascular disease","I70.90"
"Cardiopulmonary","cardiac inflammation","I40.8"
"Neuropsychiatric","sleep disturbance","G47.00"
"Cardiopulmonary","chest pain","I20.89"
"Cardiopulmonary","cardiac inflammation","I40.1"
"Neuropsychiatric","general pain, fatigue, malaise","G89.28"
"Neuropsychiatric","general pain, fatigue, malaise","G44.219"
"Neuropsychiatric","general pain, fatigue, malaise","G43.109"
"Cardiopulmonary","cough","R05.1"
"Cardiopulmonary","vascular disease","I70.298"
"Neuropsychiatric","general pain, fatigue, malaise","G44.85"
"Neuropsychiatric","general pain, fatigue, malaise","G93.3"
"Cardiopulmonary","vascular disease","I70.222"
"Cardiopulmonary","major cardiac dysfunction","I50.9"
"Neuropsychiatric","general pain, fatigue, malaise","G43.B1"
"Neuropsychiatric","general pain, fatigue, malaise","G89.4"
"Neuropsychiatric","sleep disturbance","G47.25"
"Neuropsychiatric","general pain, fatigue, malaise","G43.419"
"Neuropsychiatric","general pain, fatigue, malaise","G44.83"
"Cardiopulmonary","abnormal breathing","R06.81"
"Neuropsychiatric","sleep disturbance","G47.11"
"Cardiopulmonary","chest pain","R07.81"
"Neuropsychiatric","sleep disturbance","G47.29"
"Neuropsychiatric","depression","F32.9"
"Neuropsychiatric","sleep disturbance","G47.24"
"Neuropsychiatric","sleep disturbance","G47.59"
"Cardiopulmonary","abnormal heart rate","I47.1"
"Neuropsychiatric","general pain, fatigue, malaise","G44.221"
"Cardiopulmonary","cardiac inflammation","I42.8"
"Cardiopulmonary","abnormal heart rate","R00.2"
"Cardiopulmonary","abnormal heart rate","I47.29"
"Neuropsychiatric","general pain, fatigue, malaise","G43.009"
"Cardiopulmonary","abnormal breathing","R06.00"
"Neuropsychiatric","sleep disturbance","G44.81"
"Digestive","diarrhea","R19.7"
"Neuropsychiatric","depression","F43.23"
"Cardiopulmonary","chest pain","R07.1"
"Cardiopulmonary","vascular disease","I70.244"
"Cardiopulmonary","major cardiac dysfunction","I50.30"
"Cardiopulmonary","major cardiac dysfunction","I50.32"
"Cardiopulmonary","vascular disease","I70.242"
"Neuropsychiatric","sleep disturbance","G47.419"
"Neuropsychiatric","general pain, fatigue, malaise","G43.509"
"Neuropsychiatric","brain fog","R41.3"
"Cardiopulmonary","vascular disease","I70.231"
"Neuropsychiatric","sensory changes","R44.2"
"Cardiopulmonary","major cardiac dysfunction","I21.9"
"Neuropsychiatric","general pain, fatigue, malaise","G43.501"
"Neuropsychiatric","sensory changes","R42."
"Neuropsychiatric","depression","F33.9"
"Cardiopulmonary","major cardiac dysfunction","I21.02"
"Neuropsychiatric","sleep disturbance","G47.52"
"Neuropsychiatric","sensory changes","H81.12"
"Neuropsychiatric","depression","F32.3"
"Cardiopulmonary","cardiac inflammation","I42.2"
"Neuropsychiatric","sleep disturbance","G47.35"
"Neuropsychiatric","sensory changes","H81.11"
"Cardiopulmonary","vascular disease","I70.238"
"Neuropsychiatric","general pain, fatigue, malaise","G43.011"
"Neuropsychiatric","general pain, fatigue, malaise","G44.82"
"Neuropsychiatric","sensory changes","H54.7"
"Neuropsychiatric","depression","F33.3"
"Cardiopulmonary","vascular disease","I70.228"
"Neuropsychiatric","general pain, fatigue, malaise","R51.9"
"Digestive","bleeding","K92.2"
"Neuropsychiatric","sleep disturbance","G47.27"
"Cardiopulmonary","vascular disease","I70.235"
"Neuropsychiatric","general pain, fatigue, malaise","G43.111"
"Cardiopulmonary","vascular disease","I70.223"
"Neuropsychiatric","sleep disturbance","G47.01"
"Cardiopulmonary","abnormal breathing","R06.83"
"Cardiopulmonary","major cardiac dysfunction","I21.09"
"Neuropsychiatric","general pain, fatigue, malaise","G44.59"
"Cardiopulmonary","vascular disease","I70.218"
"Digestive","nausea","R10.10"
"Cardiopulmonary","abnormal heart rate","I49.8"
"Cardiopulmonary","vascular disease","I25.119"
"Cardiopulmonary","vascular disease","I70.248"
"Neuropsychiatric","sleep disturbance","G47.54"
"Cardiopulmonary","abnormal heart rate","I47.2"
"Neuropsychiatric","sleep disturbance","G47.36"
